32	01
0	0001
238	0011
224	1010
226	1101
232	00100
45	10010
229	10111
237	11000
235	11101
236	11111
48	001010
57	001011
240	100000
241	100001
49	100111
228	101101
242	0000000
247	0000010
234	0000011
192	0000101
50	1000101
233	1000110
245	1000111
252	1011000
51	1100101
54	1100110
239	1100111
195	1110000
53	1110010
55	1111001
52	1111010
255	00000011
225	00001100
196	00001101
207	00001111
56	10011000
204	10011010
243	10011011
205	10110010
244	10110011
212	11001001
193	11100110
251	11100111
202	11110000
223	11110001
206	11110110
5	000000100
2	000000101
6	000010000
4	000010001
1	000010010
3	000011100
194	100010000
209	100010010
227	100110011
213	110010001
197	111000100
199	111000101
210	111000110
198	111101110
208	111101111
200	10001000100
231	10001000101
23	111000111100
88	111000111110
109	111000111111
110	0000100110001
38	0000100110100
119	0000100110101
65	0000100110010
10	0000100110011
13	0000100110110
99	0000100110111
101	0000100111010
93	0000100111011
18	0000100111000
71	0000100111001
115	0000100111110
40	0000100111111
16	0000100111100
44	0000100111101
27	0000111010000
35	0000111010001
92	0000111010010
89	0000111010011
75	0000111011000
112	0000111011001
103	0000111010110
73	0000111010111
19	0000111010100
76	0000111010101
20	0000111011010
87	0000111011011
37	0000111011110
36	0000111011111
91	0000111011100
83	0000111011101
85	1000100011000
114	1000100011001
24	1000100011010
33	1000100011011
90	1000100011100
64	1000100011101
17	1000100110010
74	1000100110011
30	1000100110000
104	1000100110001
26	1000100011110
111	1000100011111
12	1000100111000
102	1000100111001
66	1000100110110
72	1000100110111
116	1000100110100
61	1000100110101
31	1000100111110
95	1000100111111
81	1000100111100
78	1000100111101
106	1000100111010
118	1000100111011
29	1001100100000
22	1001100100001
59	1001100100110
77	1001100100111
68	1001100100100
41	1001100100101
63	1001100100010
21	1001100100011
79	1001100101000
67	1001100101001
107	1001100101110
98	1001100101111
117	1001100101100
34	1001100101101
7	1001100101010
70	1001100101011
28	1100100000010
94	1100100000011
100	1100100000000
15	1100100000001
80	1100100000110
39	1100100000111
105	1100100000100
120	1100100000101
46	1100100001100
69	1100100001101
84	1100100001010
9	1100100001011
113	1100100001000
47	1100100001001
60	1110001110000
82	1110001110001
62	1100100001110
58	1100100001111
86	1110001110010
11	1110001110011
108	1110001110100
96	1110001110101
43	1110001110110
42	1110001110111
8	1110001111010
25	00001001100000
14	00001001100001
97	11100011110110
160	11100011110111
